rectory roofers,their ladders,take them higher
manhattan skyline,my son is getting married,tonight
weeds uprooted,the earth,under my fingernails
mountain overlook,a rush of perfume,from the seniors? tour bus
new year's day,our neighbors? boots,in the mud room
after all,the cell phone calls,the pine
a few heads nod,as a vision is retold,the candle's flame
a winter sun,drawn in yellow crayon??,the children's ward
split white birch,a beaver's wake,reaches shore
winter night,my wish,still among the stars
word of a death,the clarity,of winter sunlight
mud month??,a line of fox tracks,divides the field
morning warmth,a boy stretching his step,to match dad's
hiroshima day,multi-color threads,on the weaving machine
more footsteps??,the broken branch,breaks again
one deep breath,for a moment the pine,is part of me
beginning of summer??,the heart of the watermelon,saved for last
oppressive heat??,a road crew rakes hay,over grass seeds
dry thunder,the sound of sparrows,in sunflowers
church picnic??,grass butterflies stirred up,by my skirt hem
ebb tide,the curve of the beach,brighter
spring afternoon,the schoolchildren return,to the dead squirrel
evensong,an upturned snail shell,brimming with rain
cardinal pair,the girl i never asked,to the high school dance
a spider comes out,to bundle its catch . . .,evening rain
spring sun,her urn gathers,the whole family
a drifting cloud,the line of frog eggs,twitches
fado love song . . .,dust bunnies swirl,ahead of the broom
first of spring,the mail carrier's,knees
mother's day,one set of footprints,along the beach
hands,on the balcony rails,summer morning
afternoon stillness,a dragonfly touching,circles in the pond
swallowing,an iron pill??,autumn melancholy
log fire,the landlord's,reindeer nose
passing headlights,snow gathers on,the horse's back
crocuses bloom,the old woman on the bench,swings her feet
the bonfire embers,smoulder on to sundown,honking geese
the empty barrel,still smells of apples . . .,november snow
evening snowstorm . . .,a tinful,of unsharpened pencils
two crows,into a headwind,skittering leaves
old dog gets up,just to lie back down,end of winter
billowing clouds,trailing the tractor,windrows of hay
chatter,in the outfield,katydids
evening shadows??,a crow,this side of the haze
new girl at school,maple pods,twirling endlessly
the river of heaven,my body,drifts away
a gang of men,followed by others,the ripe grain
august night,the crack of the bat,sends a chill
moonlight,on my hands,the smell of parsnips
starlit sky,a touch of dampness,on the scarecrow
autumn in the park,a soprano saxophone,merges with the night
tire marks,on the neighborhood street,evening heat
hot summer day,the shape of a bicycle,that's been run over
one tree,downhill from the others,the limit of shadows
watermelon moon,she pedals slower,closer to home
drive-thru exit,a one-legged gull waits,to take my order
heat wave,a crow follows,the train tracks
midsummer heat??,prayer flags fade,on temple trees
summer waters . . .,the slack,in each line
lingering twilight,a water dragon's tail,dangles in the pool
midnight??,another ping from,the empty pop can
bayside picnic,trying to favour,the one-legged gull
family reunion,memories of the way,it never was
old friends,a rustle of pea pods,against the fence
beach festival,a child pats the damp,in her castle wall
from the lookout,mountain after mountain . . .,ant on the gravel path
heat storm,the weight of his hand,almost touching mine
the secluded creek,of our childhood,still deep in places
a flip-flop,in the middle of the street,the heat
starless night,i crush the emptiness,from a soda can
the wide blue sky,following behind,an orange tractor
purple almond tree??,today i?ll not forget,where i parked the car
all the answers,in the back of the book??,summer solstice
morning clouds,the swan waddles,over a shallow part
outdoor market,caged parakeets hang,with the chickens
girl in a meadow,the random flight,of a swallowtail
last day of school,lessons clapped,from the erasers
maple trees,on the verge of summer,wanderlust
my garden gloves,streaked with dirt??,meeting a monarch
hut in the woods . . .,small teeth marks,on the toilet soap
the sigh,i heave,forsythia
visiting artists,all over town,cherry blossoms
spring morning??,women at a village well,tease the new bride
steady drizzle,strand by strand,a robin's nest
a female mallard,leads two drakes??,spring morning
once again,the scent of lilacs,mother's call to supper
downpour,puddles swirled,with pollen
spring breeze??,the cat bats a few,feathers around
mortgage paid off??,thatch from our yard,in the robin's beak
sunlit dew,the cock pheasant circles,his three-strong harem
early dusk,an inch of snow,on a half inch branch
a dancer,all her life??,winter moon
bare branches,a swishing broom,finds its rhythm
dwarfed by dinosaur skeletons,a teen,with all the answers
science fair,my amaryllis bigger,than his
storm over??,her headstone,above the snow
church bells and snow,i read that chekhov,longed to be a monk
winter drizzle??,a sprinkling of sea salt,on warm pretzels
the crows,louder than usual,deep morning mist
i?d almost forgotten it,a seed's hunger,for the sun
halloween . . .,she asks to borrow,my hippie jeans
timber train,a thought about,auschwitz
behind our backs??,the sounds the ocean,covers up
evening news,she files her nails,down to nothing
the sound she makes,when she catches her breath,first snow
babar,a forget-me-not,between wrinkled pages
an eagle sighting??,the frailty,in my father's hug
slow driver??,is he watching,the hawk?
dust clearing,the miner's lamp beam catches,on a splintered timber
open range,leather creaks,in the cold dawn
equinox??,splitting the last tomato,with a jackknife
high autumn days,the morning glories open,to whatever comes
"a couple kissing,",not even moonlight,between them
the drift,of a nearby conversation,autumn leaves
full moon??,her updated version,of the future
dawn frost,a screech owl finishes,the hunt
one corner then the other,of my book??,black-tip dragonfly
edge of the reeds,a rattlesnake pair,tails whispering
new love . . .,the ripples of a braid,undone
memories??,the smell of matches,fills the kitchen
distant peak,a tumbleweed overtakes,the shadow of a cloud
we pick,the last blackberries,her freshly blonde hair
book chosen,another title tips,into the empty space
waking up all night,this room is too close,to the moon
listening,for the cat door??,autumn night
lakeside drive,one more time around,the radio dial
cul-de-sac,the knife-grinder rings in,summer's end
almost dark??,a fountain,lifts the rain
silence between us,the sound,of a candle
wind-carved sand . . .,i crumble a bayberry leaf,to bring her back
the falling snow,turning the snowman,back into snow
4th of july,congealed ketchup,around the cap
the easy stride,of seersucker,father's day
where night,pulls away??,white irises
humming oldies,talk of the future,from the back seat
thumbing a coat,over my shoulder,cloudless sky
distant thunder . . .,she draws teardrops,on her doll's face
enough sunrise??,a small window,in an old hotel
warm winds,the kite's string,almost straight
southern breeze??,a goldfinch drinks,from the air conditioner
nearly twilight,the blowsy petals,of spent tulips
jasmine??,first the perfume,then the buzz
red-tailed hawk,sunlight warms a thicket,of mesquite
spring noon,the construction crane,lifts a crow
sparrow fledglings,the old man points,his walking stick
spring sun,an unfinished word,on the to-do list
tidal surge,the shag's wings open,for the wind to dry
a second plowing??,the black mud,lit up by egrets
missing steeple??,crows settle,in a hemlock tree
the horned moon??,a grub in one hand,a seed in the other
frozen morning,a pansy's blue face,in the leaf litter
spring??,the pause before,she pulls a sapling
the sidewalk ends,at a high stone wall,dandelions
tea house,a small leaf,blackens a tooth
apples in bud,a white lie,about her complexion
heirloom seeds,a young woman kneels,in the garden
first warm day,she asks me if i still,want a divorce
my downed kite??,following its string,to a stranger's door
the cool kids,walk arm-in-arm,. . . wild narcissus
awash with fog,the wheel-less,wheelbarrow
pacing myself,to the trot of the dog,an april evening
spring sunshine,the friendliness of the girl,who serves me
first warm day,the bodybuilder,makes his pecs dance
end of winter,i place a phone call,to another time
redwood sorrel buds . . .,beyond the missing bridge,the vanishing trail
early morning sun,steam rises from stumps,piled in the clear-cut
easter egg hunt,grandma hints where,the purple one lies
a long road,the spring wind,in my lungs
winter sunrise,blinking,between the boxcars
storage closet,the dead spider,as fine as its web
woodburning stove??,toiled boots,prop each other up
winter noon,a branch drips,on its shadow
snowed in . . .,opening the lid,of my breadmaker
last of the sun??,the letter of apology,half written
winter sunrise,the crack,in the barn door
a clump of soil,shaped by his grip??,late winter sun
snowmelt,a raspberry cane,springs back
winter aquarium??,maybe i should have stayed,in my home town
sun in the pines,the awkward cadence,of father's voice
alone at the beach??,cones of bent pines,so low to the ground
snow moon,the blue shadow,of a bare birch
ice storm,he traces my scars,in the dark
snowbound??,collecting rent,on boardwalk
fading light,my snow shovel's scrape,answers another
deep winter,rooks call other rooks,through the dusk
sketch pad,no color,for snow
late night . . .,sounds this house makes,only in the winter
rain turning snow,the doctor begins by describing,treatable conditions
geese,that stay??,winter rain
office windowsill,a geranium petal,drops into a file
cold moon??,marrow bones simmer,in the pot
hospice hallway,his visitors talk about,someone else
funeral . . .,the wind,hushes the priest
first winter rain,i drift into dreams,of my childhood
giving up,her secret ingredient,last round of scrabble
quiet fall of snow,the park mime's wall,is breached
still morning,birds on the roof ridge,every which way
wild geese,the border guards,lower their weapons
fishermen's memorial,bits of driftwood,roll in the surf
estate sale,her paint-by-number christ,half finished
airport terminal,the sparrow's flight,from gate to gate
through the storm,knowing,the mountain is there
turkey shoot,young boys slip through,clumps of men
woodsmoke??,an heirloom photo of someone,no one knows
a garbage can,in the middle of the street,deepening autumn
a new light,on the dashboard,evening rain
falling into,the longest night,fresh snow
starlit sky . . .,cicadas? keening sounds,surround us
the cat,right where i left him,haloed moon
cicada dusk??,trouble in the sound,of my mother's voice
leaves turning,she still smiles when she sees me,after all these years
barbed wire,sagging under its load,of bare vines
new wine,adobe walls,in shadow
moon moth . . .,infant fingers brush,the breast
the hush,after starlings lift,autumn sun
sweetness,oozing from a fig,indian summer
the first bare trees,a flock of blackbirds,turns back the clock
half moon,a firefly pulsing,in my shadow's heart
light rain,the red rose,overflows
august heat??,broken egg shells,in the gator's nest
