Force and yielding meet,together: An attack,is half repulsed.
"Whenever the trees are crying aloud,","And ships are tossed at sea, By, on the highway, low","and loud, By at the gallop goes he."
By at the gallop he,"goes, and then By he comes back at",the gallop again.
A birdie with a yellow bill Hopped,"up on the window sill, Cocked his shining eye","and said: 'Ain't you 'shamed, you sleepy-head?"
' The rain is,raining all,around.
It falls on field and,"tree, It rains on the umbrellas here,",And on the ships at sea.
"Little Indian, Sioux","or Crow, Little frosty Eskimo, Little","Turk or Japanee, O!"
don't you wish,that you,were me?
You have seen the scarlet trees And the,"lions over seas; You have eaten ostrich eggs,",And turned the turtles off their legs.
"Such a life is very fine, But it's","not so nice as mine: You must often, as you trod,",Have wearied _not_ to be abroad.
"You have curious things to eat,",I am fed on proper meat; You must dwell beyond,"the foam, But I am safe and live at home."
When I am grown to man's estate,"I shall be very proud and great, And tell the other",girls and boys Not to meddle with my toys.
I have a little shadow that,"goes in and out with me, And what can be the",use of him is more than I can see.
"He is very, very like me, from",the heels up to the head; And I see him jump before,"me, when I jump into my bed."
He hasn't got a notion of how,"children ought to play, And can only make a",fool of me in every sort of way.
"He stays so close beside me, he's a coward",you can see; I'd think shame to stick to nursie,as that shadow sticks to me!
The sun is not a-bed when I At night,upon my pillow lie; Still round the earth his way,"he takes, And morning after morning makes."
"While here at home in shining day, We round","the sunny garden play, Each little Indian sleepy-head",Is being kissed and put to bed.
"And when at eve I rise from tea, Day dawns",beyond the Atlantic Sea; And all the children in the,West Are getting up and being dressed.
Smooth it slides upon,"its travel, Here a wimple, there a gleam--",O the clean gravel!
O the,smooth,stream!
"Sailing blossoms, silver fishes,",Paven pools as clear as air-- How a,child wishes To live down there!
See the rings pursue each other;,"All below grows black as night, Just as if mother",Had blown out the light!
"Patience, children, just a minute--",See the spreading circles die; The stream,and all in it Will clear by-and-by.
Of speckled eggs the birdie sings,And nests among the trees; The sailor sings of,ropes and things In ships upon the seas.
"The children sing in far Japan, The",children sing in Spain; The organ with the organ,man Is singing in the rain.
My bed is like a little boat;,Nurse helps me in when I embark; She girds me in,my sailor's coat And starts me in the dark.
"At night, I go on board and say Good",night to all my friends on shore; I shut my eyes and sail,away And see and hear no more.
"And sometimes things to bed I take, As",prudent sailors have to do; Perhaps a slice,"of wedding-cake, Perhaps a toy or two."
All night across the dark we steer: But,"when the day returns at last Safe in my room, beside","the pier, I find my vessel fast."
"Over the borders, a sin without pardon, Breaking","the branches and crawling below, Out through the breach in the wall of the","garden, Down by the banks of the river, we go."
"Here is the mill with the humming of thunder, Here is","the weir with the wonder of foam, Here is the sluice with the race running","under-- Marvelous places, though handy to home!"
"Years may go by, and the",wheel in the river Wheel as it wheels,"for us, children, to-day."
Wheel and keep roaring and,foaming for ever Long after,all of the boys are away.
"Home from the Indies and home from the ocean, Heroes",and soldiers we all shall come home; Still we shall find the old mill wheel in,"motion, Turning and churning that river to foam."
"You with the bean that I gave when we quarreled, I","with your marble of Saturday last, Honored and old and all gaily","apparelled, Here we shall meet and remember the past."
When children are playing alone,"on the green, In comes the playmate",that never was seen.
When children are happy and,"lonely and good, The Friend of the Children",comes out of the wood.
"Nobody heard him and nobody saw, His is a","picture you never could draw, But he's sure to be present, abroad or at","home, When children are happy and playing alone."
I saw you toss the kites on high And blow the,"birds about the sky; And all around I heard you pass, Like ladies'","skirts across the grass-- O wind, a-blowing all day long!"
"O wind,",that sings so,loud a song!
I saw the different,"things you did, But always you",yourself you hid.
"I felt you push, I heard you call,","I could not see yourself at all-- O wind, a-blowing all day","long, O wind, that sings so loud a song!"
O you that are so,"strong and cold, O blower,",are you young or old?
Are you a beast of,"field and tree, Or just a stronger",child than me?
"O wind, a-blowing all","day long, O wind, that sings",so loud a song!
"I woke before the morning, I","was happy all the day, I never said an ugly","word, but smiled and stuck to play."
And now at last the sun is going,"down behind the wood, And I am very","happy, for I know that I've been good."
"My bed is waiting cool and fresh,","with linen smooth and fair, And I must off to","sleepsin-by, and not forget my prayer."
"I know that, till to-morrow I shall see the","sun arise, No ugly dream shall fright my","mind, no ugly sight my eyes."
"But slumber hold me tightly, till","I waken in the dawn, And hear the thrushes",singing in the lilacs round the lawn.
"Children, you are very little, And","your bones are very brittle; If you would grow great and stately,",You must try to walk sedately.
"You must still be bright and quiet, And content","with simple diet; And remain, through all bewild'ring,",Innocent and honest children.
"Happy hearts and happy faces, Happy","play in grassy places-- That was how, in ancient ages,",Children grew to kings and sages.
"But the unkind and the unruly, And","the sort who eat unduly, They must never hope for",glory-- Theirs is quite a different story!
"Cruel children, crying babies, All grow","up as geese and gabies, Hated, as their age","increases, By their nephews and their nieces."
"Summer fading, winter comes-- Frosty","mornings, tingling thumbs, Window robins, winter","rooks, And the picture story-books."
Water now is turned to stone,Nurse and I can walk upon; Still we find the,flowing brooks In the picture story-books.
All the pretty things put by,"Wait upon the childrens' eye, Sheep and shepherds, trees and","crooks, In the picture story-books."
"We may see how all things are,","Seas and cities, near and far, And the flying fairies'","looks, In the picture story-books."
How am I to sing your,"praise, Happy chimney-corner days, Sitting safe in","nursery nooks, Reading picture story-books?"
How do you like to,"go up in a swing, Up in",the air so blue?
"Oh, I do think it the",pleasantest thing Ever,a child can do!
It is very nice to think The world,is full of meat and drink With little children saying,grace In every Christian kind of place.
The lamps now glitter down the street; Faintly,sound the falling feet And the blue even slowly,falls About the garden trees and walls.
Now in the falling of the gloom The,red fire paints the empty room; And warmly on the roof,"it looks, And flickers on the backs of books."
Armies march by tower and spire Of,"cities blazing, in the fire;-- Till as I gaze with staring","eyes, The armies fade, the lustre dies."
Then once again the glow returns;,Again the phantom city burns; And down,"the red-hot valley, lo!"
The phantom,armies marching,go!
"Blinking embers, tell me true Where are","those armies marching to, And what the burning city",is That crumbles in your furnaces!
Down by a shining water,"well I found a very little dell, No",higher than my head.
The heather and the gorse,"about In summer bloom were coming out,",Some yellow and some red.
I called the little pool a,sea; The little hills were big to me;,For I am very small.
"I made a boat, I made","a town, I searched the caverns up and","down, And named them one and all."
"And all about was mine,","I said, The little sparrows overhead,","The little minnows, too."
This was the world and I was,"king; For me the bees came by to sing,",For me the swallows flew.
I played there were no deeper,"seas, Nor any wider plains than these,",Nor other kings than me.
